SourceRow,StageNumber,TimeSinceStartOfTest_s,TimeSinceStartOfStage_s,ShearStrain_pct,q_kPa,p_eff_kPa,PorePressure_kPa,ExcessPorePressure_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted,AxialStrainRate_pct_min,ShearStrainBeforeCompliance_pct,qBeforeCompliance_kPa,pEffBeforeCompliance_kPa,PlotValid
68,11,930845,402,0.0622987170687926,38.8593006201477,388.953100206716,724,21.8,1.0334645604989,1.0464645604989,0.0091758618869621,0.0622987170687926,38.8593006201477,388.953100206716,1
69,11,930851,408,0.0633546275275857,39.1874050286456,388.562468342882,724.5,22.3,1.0334645604989,1.0464645604989,0.00917586188696203,0.0633546275275857,39.1874050286456,388.562468342882,1
70,11,930857,414,0.0641993558946201,39.5156978137213,388.57189927124,724.6,22.4,1.0334645604989,1.0464645604989,0.00915474367770279,0.0641993558946201,39.5156978137213,388.57189927124,1
71,11,930863,420,0.0650440842616546,39.8439850357081,388.481328345236,724.8,22.5999999999999,1.0334645604989,1.0464645604989,0.00915474367770286,0.0650440842616546,39.8439850357081,388.481328345236,1
72,11,930869,426,0.0660999947204477,40.1172257955918,388.672408598531,724.7,22.5,1.0334645604989,1.0464645604989,0.00915474367770279,0.0660999947204477,40.1172257955918,388.672408598531,1
73,11,930875,432,0.0669447230874822,40.3906579453933,388.363552648464,725.1,22.9,1.0334645604989,1.0464645604989,0.00913362546861011,0.0669447230874822,40.3906579453933,388.363552648464,1
74,11,930881,438,0.0677894514545166,40.6640854592872,388.154695153096,725.4,23.1999999999999,1.0334645604989,1.0464645604989,0.00912306636402214,0.0677894514545166,40.6640854592872,388.154695153096,1
75,11,930887,444,0.0686341798215511,40.9375083372736,388.145836112425,725.5,23.3,1.0334645604989,1.0464645604989,0.00911250725935122,0.0686341798215511,40.9375083372736,388.145836112425,1
76,11,930893,450,0.0696900902803442,41.2107276560846,388.136909218695,725.6,23.4,1.0334645604989,1.0464645604989,0.00910194815476334,0.0696900902803442,41.2107276560846,388.136909218695,1
77,11,930899,456,0.0705348186473787,41.4841406827672,387.728046894256,726.1,23.9,1.0334645604989,1.0464645604989,0.00910194815476334,0.0705348186473787,41.4841406827672,387.728046894256,1
78,11,930905,462,0.0713795470144132,41.8123903539022,387.337463451301,726.6,24.4,1.0334645604989,1.0464645604989,0.00911250725943416,0.0713795470144132,41.8123903539022,387.337463451301,1
